date,streamflow_m3s,precip_mm,temp_c,tracer_concentration
2018-01-01,50.742465830466195,0.0,15.156780591669598,100.0
2018-01-02,57.66411765097145,0.0,16.29678196855747,100.0
2018-01-03,52.09922811658736,0.0,15.906915261732196,100.0
2018-01-04,52.604775624380004,0.0,13.487527570079436,100.0
2018-01-05,52.779988764101745,0.0,15.751282687568784,100.0
2018-01-06,53.79045975109331,0.0,16.135672484495313,100.0
2018-01-07,55.96400149847282,0.0,17.30376451161619,100.0
2018-01-08,48.19425373256034,0.0,15.144849373135004,100.0
2018-01-09,52.72190611998089,0.0,15.388636397672258,100.0
2018-01-10,62.36319586603494,0.0,13.399243096670624,100.0
2018-01-11,56.655700627969914,0.0,17.32808169441716,100.0
2018-01-12,62.21138671427962,0.0,16.187515439468015,100.0
2018-01-13,56.006129073810115,0.0,16.86552773384531,100.0
2018-01-14,62.59324161631653,0.0,16.264352876236927,100.0
2018-01-15,58.50011685326603,1.0937814702287851,16.62306303889927,98.68746223572545
2018-01-16,60.324441302414066,0.0,15.904628765932271,98.68746223572545
2018-01-17,49.89887683848822,0.0,17.189895762662037,98.68746223572545
2018-01-18,64.45046303124855,0.4022938161540197,16.066326083985583,99.51724742061518
2018-01-19,64.78759856558013,0.0,17.883903348503676,99.51724742061518
2018-01-20,64.96262612309222,0.0,18.750774199167594,99.51724742061518
2018-01-21,62.82887082838173,0.0,21.18124776765643,100.0
2018-01-22,66.63105641655386,0.0,19.22126902896592,100.0
2018-01-23,58.60858713689379,0.0,20.110546393204945,100.0
2018-01-24,64.23266647694781,0.0,18.17580929028493,100.0
2018-01-25,71.47418597523406,0.0,20.00557670327189,100.0
2018-01-26,62.46967191651311,0.0,20.911663525609466,100.0
2018-01-27,73.2675043958429,0.0,17.988750064977015,100.0
2018-01-28,61.211487006672016,1.492898176679911,16.629243274149857,98.2085221879841
2018-01-29,61.86723427222254,0.0,21.087084893127887,98.2085221879841
2018-01-30,84.6089850189246,0.0,23.666490132108034,98.2085221879841
2018-01-31,75.38456554690549,0.7620692012442289,19.377497244145708,99.08551695850693
2018-02-01,69.5451715253514,0.0,18.81548714819366,99.08551695850693
2018-02-02,64.34278069633814,0.0,23.095397980934344,99.08551695850693
2018-02-03,64.63661957959388,0.15661341115182678,20.57637171436519,99.81206390661781
2018-02-04,66.61966649993258,0.06783297147249624,17.309183360392748,99.73066434085081
2018-02-05,67.32951565177895,0.0,19.782891558792354,99.73066434085081
2018-02-06,77.45402799708192,0.0,23.490733021879247,99.918600434233
2018-02-07,72.99224320145102,0.0,21.62177941100778,100.0
2018-02-08,73.40841913269125,0.012336980567654494,20.130723016487156,99.98519562331882
2018-02-09,75.69888193613916,0.0,18.908491680708323,99.98519562331882
2018-02-10,74.26686755101916,5.274752303771275,21.71191776660378,93.65549285879328
2018-02-11,77.77487624118012,0.0,21.450716905457323,93.67029723547446
2018-02-12,68.521083276714,0.0,20.1743392400072,93.67029723547446
2018-02-13,82.86139050502686,1.5232072362015714,20.626009826309645,98.17215131655811
2018-02-14,75.8442540814447,0.0,22.144620843099275,98.17215131655811
2018-02-15,78.60328588602304,0.0,23.483448089134477,98.17215131655811
2018-02-16,80.6583104864757,0.0,22.017139544224783,100.0
2018-02-17,81.04619637668108,0.3821741611205891,23.61347850777435,99.5413910066553
2018-02-18,80.59221975441676,0.0,19.914144931357054,99.5413910066553
2018-02-19,75.19779656190175,0.06071288939860858,19.958364476065867,99.46853553937697
2018-02-20,79.22275455399587,0.06931769172677997,22.656309167323663,99.84396330264953
2018-02-21,80.65291240998837,0.0,23.185038434832766,99.84396330264953
2018-02-22,80.47958390250898,0.0,21.084376046704595,99.91681876992786
2018-02-23,88.70027270215802,0.0,22.630451721573785,100.0
2018-02-24,82.46225504230735,0.0,22.231865436282998,100.0
2018-02-25,84.43404911507328,0.0,22.84249240822186,100.0
2018-02-26,74.9012749807877,0.0,23.188350211213752,100.0
2018-02-27,76.05712637163319,0.0,24.54786175825795,100.0
2018-02-28,83.9698840619785,0.0,20.596183571237628,100.0
2018-03-01,86.69408886031493,0.0,22.085594783153077,100.0
2018-03-02,92.60373437509799,0.0,20.469332567659123,100.0
2018-03-03,83.940701072526,0.0,24.999572577558137,100.0
2018-03-04,86.4880571134445,0.0,25.36412761648866,100.0
2018-03-05,87.49723584535393,0.0,25.256385396713668,100.0
2018-03-06,89.31067452645,0.0,24.132278657482725,100.0
2018-03-07,90.15535303275279,0.0,23.394598132622985,100.0
2018-03-08,87.41760225673477,2.3419375741629733,26.447825098739635,97.18967491100443
2018-03-09,89.50524508438869,0.0,23.959462459693373,97.18967491100443
2018-03-10,87.37710374755608,0.0002049960728599125,23.84294384564737,97.18942891571702
2018-03-11,100.01271789762164,0.0,25.17701774634038,99.99975400471256
2018-03-12,89.02247442228955,0.0,23.94326221358091,99.99975400471256
2018-03-13,96.36970730725594,0.0,21.251773397186767,100.0
2018-03-14,87.4797150562198,0.0,20.498171222767375,100.0
2018-03-15,82.29393499320894,0.0,23.261412864387346,100.0
2018-03-16,79.09872126257687,0.0,27.534086462584682,100.0
2018-03-17,93.29865512586304,0.0,27.07233625649596,100.0
2018-03-18,86.95967876110235,0.0,24.732601938131282,100.0
2018-03-19,84.68948402998514,0.0,23.64457484995826,100.0
2018-03-20,79.00599679888788,0.0,23.411928224214208,100.0
2018-03-21,82.15497266790841,0.0,24.24895948682334,100.0
2018-03-22,91.40303849231417,0.0,23.371405142513012,100.0
2018-03-23,94.83262426881538,0.0,22.95445717440295,100.0
2018-03-24,97.0334907317787,0.0,28.250280027715,100.0
2018-03-25,95.28517831737341,0.0,25.40867926840714,100.0
